Threshold_Pct,Num_Features,SVM_Acc_Mean,SVM_Acc_Std,LR_Acc_Mean,LR_Acc_Std,NB_Acc_Mean,NB_Acc_Std,Avg_3Clf_Mean,Ensemble_Acc,Ensemble_F1_Macro,Ensemble_F1_Weighted
3%,11,0.96875,0.04192627457812106,0.9495833333333333,0.037659383514161066,0.9179166666666667,0.06932336667146703,0.9454166666666667,0.9622641509433962,0.963225371120108,0.9622004939780511
5%,17,0.95625,0.028641098093473996,0.95625,0.040019526483955306,0.9241666666666667,0.061964371483404335,0.9455555555555556,0.9622641509433962,0.963225371120108,0.9622004939780511
7%,24,0.95,0.04677071733467427,0.9625,0.030618621784789725,0.8929166666666667,0.056582351488781366,0.935138888888889,0.9622641509433962,0.963225371120108,0.9622004939780511
10%,34,0.95625,0.048814060474416596,0.96875,0.04192627457812106,0.9433333333333334,0.03375771516754849,0.956111111111111,0.9622641509433962,0.963225371120108,0.9622004939780511
12%,41,0.975,0.030618621784789725,0.975,0.030618621784789725,0.9429166666666667,0.045109819699632285,0.9643055555555556,0.9811320754716981,0.9816451965984676,0.9811288982510988
15%,51,0.9620833333333334,0.04172703959464813,0.9875,0.025,0.9241666666666667,0.047718794340734685,0.9579166666666667,0.9811320754716981,0.981651376146789,0.9811320754716981
20%,67,0.96875,0.04192627457812106,0.975,0.041457809879442496,0.9183333333333333,0.0792148975887743,0.9540277777777778,0.9811320754716981,0.981651376146789,0.9811320754716981
25%,84,0.975,0.041457809879442496,0.98125,0.040019526483955306,0.8925000000000001,0.0898262211161084,0.9495833333333333,0.9811320754716981,0.981651376146789,0.9811320754716981
30%,101,0.9625,0.0414578098794425,0.9875,0.025,0.7858333333333334,0.11316470297756274,0.9119444444444446,0.9622641509433962,0.9631606585735026,0.9624311897464053
40%,134,0.98125,0.040019526483955306,0.9875,0.025,0.78,0.13740906083661297,0.9162500000000001,0.9811320754716981,0.981651376146789,0.9811320754716981
50%,168,0.9875,0.025,0.98125,0.028641098093473996,0.70375,0.06022094735222953,0.8908333333333333,0.9685534591194969,0.9690021338582455,0.9684376478557748
75%,252,0.98125,0.040019526483955306,0.98125,0.040019526483955306,0.64125,0.05756789469834728,0.8679166666666666,0.9748427672955975,0.9755166217430368,0.97483005306074
100%,335,0.9625,0.05,0.9875,0.025,0.5970833333333333,0.10299423527557258,0.8490277777777778,0.9685534591194969,0.969408660997446,0.9685481637518314
